date,phc_id,medicine_id,medicine_name,stock_quantity,daily_demand,received_quantity,expired_quantity,population,rolling_mean,rolling_std,z_score,anomaly_score,is_anomaly,anomaly_type
2026-01-19,PHC001,M001,Paracetamol,2003,70,0,3,12000,59.714285714285715,3.5923198500080544,2.8632512457628803,2.8632512457628803,True,DEMAND_SPIKE
2026-02-03,PHC001,M001,Paracetamol,2136,77,0,1,12000,64.42857142857143,3.7352886036263837,3.3655842708442045,3.3655842708442045,True,DEMAND_SPIKE
2026-02-11,PHC001,M001,Paracetamol,1673,69,0,3,12000,54.0,4.281744192888373,3.5032452487268566,3.5032452487268566,True,DEMAND_SPIKE
2026-03-18,PHC001,M001,Paracetamol,2266,67,0,3,12000,50.42857142857143,5.411627692821665,3.062189328621034,3.062189328621034,True,DEMAND_SPIKE
2026-03-28,PHC001,M001,Paracetamol,1710,72,0,1,12000,52.42857142857143,6.106202935189293,3.2051716556357546,3.2051716556357546,True,DEMAND_SPIKE
2026-04-05,PHC001,M001,Paracetamol,2178,135,0,2,12000,58.42857142857143,8.960229588895261,8.545699394391225,8.545699394391225,True,DEMAND_SPIKE
2026-04-15,PHC001,M001,Paracetamol,2650,82,1151,0,12000,63.714285714285715,7.250615737399736,2.5219532999651184,2.5219532999651184,True,DEMAND_SPIKE
2026-04-24,PHC001,M001,Paracetamol,2042,77,0,0,12000,66.0,3.9581140290126497,2.779101339519505,2.779101339519505,True,DEMAND_SPIKE
2026-05-04,PHC001,M001,Paracetamol,2540,46,0,2,12000,63.57142857142857,5.996030432909848,-2.930510238071162,2.930510238071162,True,DEMAND_DROP
2026-05-22,PHC001,M001,Paracetamol,2394,41,0,3,12000,62.0,8.366600265340763,-2.5099800796022245,2.5099800796022245,True,DEMAND_DROP
2026-05-24,PHC001,M001,Paracetamol,2162,166,0,2,12000,58.142857142857146,10.589752458998149,10.185048543367628,10.185048543367628,True,DEMAND_SPIKE
2026-06-04,PHC001,M001,Paracetamol,2320,66,0,2,12000,51.714285714285715,5.407226205560156,2.641967201413644,2.641967201413644,True,DEMAND_SPIKE
2026-06-21,PHC001,M001,Paracetamol,2183,200,0,2,12000,57.142857142857146,8.896227129680208,16.058171714224,16.058171714224,True,DEMAND_SPIKE
2026-01-11,PHC001,M002,ORS,755,47,0,2,12000,36.857142857142854,2.4784787961282135,4.092371965700064,4.092371965700064,True,DEMAND_SPIKE
2026-01-18,PHC001,M002,ORS,1049,32,0,0,12000,44.0,3.872983346207427,-3.0983866769659256,3.0983866769659256,True,DEMAND_DROP
2026-01-23,PHC001,M002,ORS,826,58,0,0,12000,39.57142857142857,5.094347941825432,3.617454410066858,3.617454410066858,True,DEMAND_SPIKE
2026-02-10,PHC001,M002,ORS,578,136,0,0,12000,44.42857142857143,6.320789582985733,14.487340128821886,14.487340128821886,True,DEMAND_SPIKE
2026-02-20,PHC001,M002,ORS,804,29,0,1,12000,39.857142857142854,2.7945525240230253,-3.885109606568768,3.885109606568768,True,DEMAND_DROP
2026-04-19,PHC001,M002,ORS,1468,49,0,1,12000,41.42857142857143,2.3704530408864106,3.1940850296689693,3.1940850296689693,True,DEMAND_SPIKE
2026-04-20,PHC001,M002,ORS,1349,117,0,2,12000,43.142857142857146,2.9113897843110115,25.368345817226725,25.368345817226725,True,DEMAND_SPIKE
2026-04-22,PHC001,M002,ORS,1154,146,0,0,12000,54.714285714285715,27.620730654795544,3.304971017117722,3.304971017117722,True,DEMAND_SPIKE
2026-05-03,PHC001,M002,ORS,1275,59,0,3,12000,41.714285714285715,4.4614753058558865,3.87443908140117,3.87443908140117,True,DEMAND_SPIKE
2026-05-12,PHC001,M002,ORS,872,56,0,1,12000,42.42857142857143,5.094347941825421,2.664016813615133,2.664016813615133,True,DEMAND_SPIKE
2026-06-28,PHC001,M002,ORS,816,51,0,3,12000,33.0,4.434711565216648,4.058888551215315,4.058888551215315,True,DEMAND_SPIKE
2026-01-19,PHC001,M003,Amoxicillin,931,32,0,0,12000,19.857142857142858,4.2594432902501635,2.8508085013485354,2.8508085013485354,True,DEMAND_SPIKE
2026-02-11,PHC001,M003,Amoxicillin,844,32,0,0,12000,21.285714285714285,1.4960264830862042,7.161828908391279,7.161828908391279,True,DEMAND_SPIKE
2026-03-07,PHC001,M003,Amoxicillin,876,27,0,3,12000,15.571428571428571,4.35343323738646,2.6251858717908023,2.6251858717908023,True,DEMAND_SPIKE
2026-03-20,PHC001,M003,Amoxicillin,807,9,0,0,12000,18.142857142857142,3.484660262185861,-2.623744197410511,2.623744197410511,True,DEMAND_DROP
2026-03-26,PHC001,M003,Amoxicillin,682,29,0,1,12000,17.285714285714285,3.8172540616821284,3.068772873116977,3.068772873116977,True,DEMAND_SPIKE
2026-03-28,PHC001,M003,Amoxicillin,625,38,0,0,12000,20.0,4.163331998932265,4.323460152737352,4.323460152737352,True,DEMAND_SPIKE
2026-04-11,PHC001,M003,Amoxicillin,743,26,0,0,12000,18.285714285714285,2.36038737740835,3.2682286764115047,3.2682286764115047,True,DEMAND_SPIKE
2026-04-14,PHC001,M003,Amoxicillin,691,11,0,0,12000,20.571428571428573,3.735288603626356,-2.562433478938221,2.562433478938221,True,DEMAND_DROP
2026-05-14,PHC001,M003,Amoxicillin,579,12,0,2,12000,20.0,2.645751311064596,-3.0237157840738114,3.0237157840738114,True,DEMAND_DROP
2026-05-22,PHC001,M003,Amoxicillin,576,71,0,2,12000,23.571428571428573,3.5523298860110772,13.351398364026695,13.351398364026695,True,DEMAND_SPIKE
2026-06-05,PHC001,M003,Amoxicillin,533,24,0,1,12000,15.285714285714286,2.984084768360684,2.9202540781282607,2.9202540781282607,True,DEMAND_SPIKE
2026-06-19,PHC001,M003,Amoxicillin,555,27,0,1,12000,18.142857142857142,3.4364987719369275,2.577374078952652,2.577374078952652,True,DEMAND_SPIKE
2026-01-19,PHC001,M004,Cetirizine,817,23,0,0,12000,18.428571428571427,1.8126539343499266,2.5219532999651295,2.5219532999651295,True,DEMAND_SPIKE
2026-01-20,PHC001,M004,Cetirizine,804,9,0,4,12000,18.714285714285715,2.360387377408327,-4.115547222147861,4.115547222147861,True,DEMAND_DROP
2026-01-23,PHC001,M004,Cetirizine,724,32,0,0,12000,18.571428571428573,4.961758520831863,2.706413738635564,2.706413738635564,True,DEMAND_SPIKE
2026-02-18,PHC001,M004,Cetirizine,845,23,0,0,12000,15.0,2.5819888974716028,3.098386676965944,3.098386676965944,True,DEMAND_SPIKE
2026-02-22,PHC001,M004,Cetirizine,758,30,0,0,12000,17.571428571428573,3.7796447300922673,3.288290915180281,3.288290915180281,True,DEMAND_SPIKE
2026-02-26,PHC001,M004,Cetirizine,668,36,0,0,12000,19.428571428571427,5.996030432909836,2.7637332326524837,2.7637332326524837,True,DEMAND_SPIKE
2026-03-14,PHC001,M004,Cetirizine,698,6,0,0,12000,14.0,2.16024689946927,-3.7032803990902345,3.7032803990902345,True,DEMAND_DROP
2026-03-26,PHC001,M004,Cetirizine,721,26,0,0,12000,15.857142857142858,1.7728105208558185,5.721343044580259,5.721343044580259,True,DEMAND_SPIKE
2026-04-01,PHC001,M004,Cetirizine,1071,33,468,2,12000,17.571428571428573,4.894116973712511,3.1524729611985216,3.1524729611985216,True,DEMAND_SPIKE
2026-04-28,PHC001,M004,Cetirizine,703,14,0,0,12000,23.571428571428573,1.9023794624226662,-5.031293051933724,5.031293051933724,True,DEMAND_DROP
2026-05-02,PHC001,M004,Cetirizine,823,54,0,1,12000,21.0,4.932882862316243,6.689800046154917,6.689800046154917,True,DEMAND_SPIKE
2026-06-16,PHC001,M004,Cetirizine,631,28,0,0,12000,15.0,3.2659863237108704,3.9804208320227055,3.9804208320227055,True,DEMAND_SPIKE
2026-01-18,PHC001,M005,Ibuprofen,1576,44,0,1,12000,31.571428571428573,4.157609203101496,2.9893553774366173,2.9893553774366173,True,DEMAND_SPIKE
2026-02-03,PHC001,M005,Ibuprofen,1484,75,0,4,12000,33.0,4.4347115652166895,9.470739952835645,9.470739952835645,True,DEMAND_SPIKE
2026-02-18,PHC001,M005,Ibuprofen,1490,28,0,0,12000,34.142857142857146,1.7728105208558895,-3.465038745309034,3.465038745309034,True,DEMAND_DROP
2026-02-20,PHC001,M005,Ibuprofen,1435,24,0,0,12000,32.57142857142857,2.935821455580671,-2.9196014475387235,2.9196014475387235,True,DEMAND_DROP
2026-02-26,PHC001,M005,Ibuprofen,1237,38,0,1,12000,29.714285714285715,3.2513733362117536,2.5483736959497096,2.5483736959497096,True,DEMAND_SPIKE
2026-03-01,PHC001,M005,Ibuprofen,1432,21,277,0,12000,31.0,3.915780041490268,-2.55376959227623,2.55376959227623,True,DEMAND_DROP
2026-03-17,PHC001,M005,Ibuprofen,1450,26,0,2,12000,31.285714285714285,1.8898223650461785,-2.7969371002682184,2.7969371002682184,True,DEMAND_DROP
2026-03-30,PHC001,M005,Ibuprofen,1048,40,0,1,12000,28.285714285714285,4.461475305855913,2.6256529311974717,2.6256529311974717,True,DEMAND_SPIKE
2026-04-15,PHC001,M005,Ibuprofen,2000,52,1005,1,12000,37.142857142857146,4.740906081772812,3.133819274392202,3.133819274392202,True,DEMAND_SPIKE
2026-05-07,PHC001,M005,Ibuprofen,1804,46,0,2,12000,36.285714285714285,3.251373336211722,2.9877484711134823,2.9877484711134823,True,DEMAND_SPIKE
2026-05-23,PHC001,M005,Ibuprofen,1820,21,0,4,12000,30.428571428571427,3.2586880211286924,-2.893364251943857,2.893364251943857,True,DEMAND_DROP
2026-05-27,PHC001,M005,Ibuprofen,1689,43,0,0,12000,27.285714285714285,4.60848079502294,3.40986247165374,3.40986247165374,True,DEMAND_SPIKE
2026-01-09,PHC001,M006,Azithromycin,1138,22,0,0,12000,15.285714285714286,1.2535663410560176,5.356147093602982,5.356147093602982,True,DEMAND_SPIKE
2026-01-15,PHC001,M006,Azithromycin,1263,10,227,0,12000,17.571428571428573,2.6367367999823097,-2.8715147342273113,2.8715147342273113,True,DEMAND_DROP
2026-02-12,PHC001,M006,Azithromycin,1168,7,0,0,12000,16.428571428571427,1.8126539343499248,-5.2015286811780825,5.2015286811780825,True,DEMAND_DROP
2026-03-07,PHC001,M006,Azithromycin,1308,17,0,1,12000,11.285714285714286,1.7994708216848359,3.1755367441498468,3.1755367441498468,True,DEMAND_SPIKE
2026-03-31,PHC001,M006,Azithromycin,1183,20,0,0,12000,13.285714285714286,2.4299715851758017,2.763112850885437,2.763112850885437,True,DEMAND_SPIKE
2026-04-09,PHC001,M006,Azithromycin,1332,9,0,1,12000,16.142857142857142,2.4784787961281984,-2.8819520885211887,2.8819520885211887,True,DEMAND_DROP
2026-04-23,PHC001,M006,Azithromycin,1342,24,0,1,12000,14.0,2.6457513110645725,3.779644730092298,3.779644730092298,True,DEMAND_SPIKE
