date,phc_id,medicine_id,medicine_name,stock_quantity,daily_demand,received_quantity,expired_quantity,population,avg_daily_demand,forecast_7_day_demand,incoming_stock,projected_stock,days_of_stock,risk_level,recommended_reorder_quantity
2026-06-30,PHC003,M008,Antacid,922,27,0,0,9500,19.71,138.0,0,784.0,46.8,LOW,0
2026-06-30,PHC006,M006,Azithromycin,791,28,0,1,27000,25.0,175.0,0,616.0,31.6,LOW,0
2026-06-30,PHC003,M004,Cetirizine,1089,16,0,1,9500,18.71,131.0,0,958.0,58.2,LOW,0
2026-06-30,PHC003,M003,Amoxicillin,498,20,0,0,9500,18.0,126.0,0,372.0,27.7,LOW,0
2026-06-30,PHC003,M002,ORS,1357,21,0,3,9500,29.0,203.0,0,1154.0,46.8,LOW,0
2026-06-30,PHC003,M001,Paracetamol,1256,48,0,2,9500,51.71,362.0,0,894.0,24.3,LOW,0
2026-06-30,PHC002,M008,Antacid,939,30,0,1,18000,33.71,236.0,0,703.0,27.9,LOW,0
2026-06-30,PHC002,M007,Iron Tablets,790,38,0,2,18000,38.43,269.0,0,521.0,20.6,LOW,0
2026-06-30,PHC002,M006,Azithromycin,377,11,0,0,18000,18.71,131.0,0,246.0,20.1,LOW,0
2026-06-30,PHC002,M005,Ibuprofen,1928,59,0,3,18000,51.43,360.0,0,1568.0,37.5,LOW,0
2026-06-30,PHC002,M004,Cetirizine,359,35,0,0,18000,38.57,270.0,0,89.0,9.3,LOW,181
2026-06-30,PHC003,M005,Ibuprofen,455,22,0,0,9500,27.57,193.0,0,262.0,16.5,LOW,0
2026-06-30,PHC002,M003,Amoxicillin,783,43,0,0,18000,36.29,254.0,0,529.0,21.6,LOW,0
2026-06-30,PHC002,M001,Paracetamol,772,83,0,1,18000,84.14,589.0,0,183.0,9.2,LOW,406
2026-06-30,PHC001,M008,Antacid,721,110,0,2,12000,43.71,306.0,0,415.0,16.5,LOW,0
2026-06-30,PHC001,M007,Iron Tablets,433,36,0,1,12000,32.29,226.0,0,207.0,13.4,LOW,19
2026-06-30,PHC001,M006,Azithromycin,1102,19,0,0,12000,16.43,115.0,0,987.0,67.1,LOW,0
2026-06-30,PHC001,M005,Ibuprofen,1399,35,0,1,12000,31.71,222.0,0,1177.0,44.1,LOW,0
2026-06-30,PHC001,M004,Cetirizine,370,21,0,2,12000,20.0,140.0,0,230.0,18.5,LOW,0
2026-06-30,PHC001,M003,Amoxicillin,330,21,0,0,12000,19.57,137.0,0,193.0,16.9,LOW,0
2026-06-30,PHC001,M002,ORS,727,48,0,0,12000,38.57,270.0,0,457.0,18.8,LOW,0
2026-06-30,PHC001,M001,Paracetamol,1647,65,0,3,12000,56.71,397.0,0,1250.0,29.0,LOW,0
2026-06-30,PHC002,M002,ORS,3507,59,0,2,18000,63.43,444.0,0,3063.0,55.3,LOW,0
2026-06-30,PHC006,M007,Iron Tablets,1526,60,0,2,27000,49.57,347.0,0,1179.0,30.8,LOW,0
2026-06-30,PHC003,M006,Azithromycin,1052,15,0,1,9500,12.0,84.0,0,968.0,87.7,LOW,0
2026-06-30,PHC004,M001,Paracetamol,2915,128,0,5,22000,119.29,835.0,0,2080.0,24.4,LOW,0
2026-06-30,PHC006,M005,Ibuprofen,1542,57,0,2,27000,52.86,370.0,0,1172.0,29.2,LOW,0
2026-06-30,PHC006,M004,Cetirizine,1737,63,0,0,27000,51.29,359.0,0,1378.0,33.9,LOW,0
2026-06-30,PHC006,M003,Amoxicillin,495,57,0,1,27000,48.29,338.0,0,157.0,10.3,LOW,181
2026-06-30,PHC006,M002,ORS,1353,128,0,1,27000,105.57,739.0,0,614.0,12.8,LOW,125
2026-06-30,PHC006,M001,Paracetamol,4370,88,0,3,27000,102.57,718.0,0,3652.0,42.6,LOW,0
2026-06-30,PHC005,M008,Antacid,1232,33,0,1,14500,24.86,174.0,0,1058.0,49.6,LOW,0
2026-06-30,PHC005,M007,Iron Tablets,223,23,0,0,14500,24.29,170.0,0,53.0,9.2,LOW,117
2026-06-30,PHC005,M006,Azithromycin,710,10,0,0,14500,14.57,102.0,0,608.0,48.7,LOW,0
2026-06-30,PHC005,M005,Ibuprofen,713,36,0,1,14500,38.86,272.0,0,441.0,18.3,LOW,0
2026-06-30,PHC003,M007,Iron Tablets,1549,19,0,1,9500,19.86,139.0,0,1410.0,78.0,LOW,0
2026-06-30,PHC005,M004,Cetirizine,1029,34,0,2,14500,30.57,214.0,0,815.0,33.7,LOW,0
2026-06-30,PHC005,M002,ORS,609,51,0,2,14500,48.43,339.0,0,270.0,12.6,LOW,69
2026-06-30,PHC005,M001,Paracetamol,390,45,0,0,14500,57.14,400.0,0,-10.0,6.8,HIGH,410
2026-06-30,PHC004,M008,Antacid,713,40,0,0,22000,45.86,321.0,0,392.0,15.5,LOW,0
2026-06-30,PHC004,M007,Iron Tablets,1341,48,0,0,22000,45.86,321.0,0,1020.0,29.2,LOW,0
2026-06-30,PHC004,M006,Azithromycin,785,21,0,1,22000,25.0,175.0,0,610.0,31.4,LOW,0
2026-06-30,PHC004,M005,Ibuprofen,2198,49,0,2,22000,56.43,395.0,0,1803.0,39.0,LOW,0
2026-06-30,PHC004,M004,Cetirizine,1123,41,0,1,22000,34.14,239.0,0,884.0,32.9,LOW,0
2026-06-30,PHC004,M003,Amoxicillin,2349,31,0,2,22000,38.71,271.0,0,2078.0,60.7,LOW,0
2026-06-30,PHC004,M002,ORS,1859,74,0,2,22000,77.14,540.0,0,1319.0,24.1,LOW,0
2026-06-30,PHC005,M003,Amoxicillin,1731,45,0,2,14500,35.71,250.0,0,1481.0,48.5,LOW,0
2026-06-30,PHC006,M008,Antacid,1114,51,0,2,27000,50.0,350.0,0,764.0,22.3,LOW,0
